,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
8285,212,462.6,"Rate per 100,000 inhabitants",17.8,,,1413.2,356.9,4.9,,2232.7,,170.6,405.4,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8286,23742,49328,Total area actually reporting,1904,,,138325,40483,568,100,228136,,19902,46116,Includes Los Angeles County,"Los Angeles-Long Beach-Glendale, CA M.D.",9934033,2011
8287,239,496.6,"Rate per 100,000 inhabitants",19.2,,,1392.4,407.5,5.7,,2296.5,,200.3,464.2,Includes Los Angeles County,"Los Angeles-Long Beach-Glendale, CA M.D.",9934033,2011
8288,3780,10720,Total area actually reporting,410,,,45097,5841,73,100,61658,,2245,6508,Includes Orange County,"Santa Ana-Anaheim-Irvine, CA M.D.",3045620,2011
8289,124.1,352,"Rate per 100,000 inhabitants",13.5,,,1480.7,191.8,2.4,,2024.5,,73.7,213.7,Includes Orange County,"Santa Ana-Anaheim-Irvine, CA M.D.",3045620,2011
8290,2168,8127,"City of Louisville Metro, KY",227,,,21560,2262,48,665152,31949,,1643,4086,"Includes Clark, Floyd, Harrison,3 and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.3",1291986,2011
8291,2991,12421,Total area actually reporting,342,,,32353,3180,57,97.2,47954,,1963,5353,"Includes Clark, Floyd, Harrison,3 and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.3",1291986,2011
8292,3030,12607,Estimated total,349,,,32953,3230,57,100,48790,,1977,5413,"Includes Clark, Floyd, Harrison,3 and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.3",1291986,2011
8293,234.5,975.8,"Rate per 100,000 inhabitants",27,,,2550.6,250,4.4,,3776.4,,153,419,"Includes Clark, Floyd, Harrison,3 and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.3",1291986,2011
8294,1409,3410,City of Lubbock,70,,,7975,693,8,234404,12078,,313,1800,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",290884,2011
8295,1538,3923,Total area actually reporting,94,,,8959,770,11,100,13652,,322,1965,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",290884,2011
8296,528.7,1348.6,"Rate per 100,000 inhabitants",32.3,,,3079.9,264.7,3.8,,4693.3,,110.7,675.5,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",290884,2011
8297,181,515,City of Lynchburg,22,,,1855,99,3,76471,2469,,72,278,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",255651,2011
8298,294,1085,Total area actually reporting,51,,,3867,226,6,100,5178,,89,440,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",255651,2011
8299,115,424.4,"Rate per 100,000 inhabitants",19.9,,,1512.6,88.4,2.3,,2025.4,,34.8,172.1,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",255651,2011
8300,274,2154,City of Macon,33,,,5104,549,13,92554,7807,,246,566,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",235351,2011
8301,535,3424,Total area actually reporting,51,,,8595,919,18,99.5,12938,,304,908,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",235351,2011
8302,538,3434,Estimated total,51,,,8632,922,18,100,12988,,305,912,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",235351,2011
8303,228.6,1459.1,"Rate per 100,000 inhabitants",21.7,,,3667.7,391.8,7.6,,5518.6,,129.6,387.5,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",235351,2011
8304,275,608,City of Madera,15,,,528,306,1,62138,1442,,115,406,Includes Madera County,"Madera-Chowchilla, CA M.S.A.",152639,2011
8305,76,184,City of Chowchilla,2,,,233,36,0,18940,453,,4,82,Includes Madera County,"Madera-Chowchilla, CA M.S.A.",152639,2011
8306,628,1628,Total area actually reporting,27,,,1603,574,5,100,3805,,139,799,Includes Madera County,"Madera-Chowchilla, CA M.S.A.",152639,2011
8307,411.4,1066.6,"Rate per 100,000 inhabitants",17.7,,,1050.2,376.1,3.3,,2492.8,,91.1,523.5,Includes Madera County,"Madera-Chowchilla, CA M.S.A.",152639,2011
8308,461,1440,City of Madison,74,,,6152,344,8,234225,7936,,272,815,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",571071,2011
8309,747,2466,Total area actually reporting,143,,,11728,547,10,99.8,14741,,344,1244,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",571071,2011
8310,748,2470,Estimated total,143,,,11755,548,10,100,14773,,344,1245,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",571071,2011
8311,131,432.5,"Rate per 100,000 inhabitants",25,,,2058.4,96,1.8,,2586.9,,60.2,218,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",571071,2011
8312,366,902,City of Manchester,69,,,3136,156,2,109708,4194,,181,618,Includes Hillsborough County,"Manchester-Nashua, NH M.S.A.",401245,2011
8313,135,360,City of Nashua,24,,,1693,77,3,86607,2130,,50,212,Includes Hillsborough County,"Manchester-Nashua, NH M.S.A.",401245,2011
8314,614,1851,Total area actually reporting,124,,,7020,314,8,94.2,9185,,260,1006,Includes Hillsborough County,"Manchester-Nashua, NH M.S.A.",401245,2011
8315,624,1892,Estimated total,127,,,7202,322,8,100,9416,,262,1021,Includes Hillsborough County,"Manchester-Nashua, NH M.S.A.",401245,2011
8316,155.5,471.5,"Rate per 100,000 inhabitants",31.7,,,1794.9,80.3,2,,2346.7,,65.3,254.5,Includes Hillsborough County,"Manchester-Nashua, NH M.S.A.",401245,2011
8317,267,626,Total area actually reporting,49,,,1852,69,5,99.5,2547,,47,368,"Includes Geary, Pottawatomie, and Riley Counties","Manhattan, KS M.S.A.",127888,2011
8318,268,628,Estimated total,49,,,1863,70,5,100,2561,,47,369,"Includes Geary, Pottawatomie, and Riley Counties","Manhattan, KS M.S.A.",127888,2011
8319,209.6,491.1,"Rate per 100,000 inhabitants",38.3,,,1456.7,54.7,3.9,,2002.5,,36.8,288.5,"Includes Geary, Pottawatomie, and Riley Counties","Manhattan, KS M.S.A.",127888,2011
8320,49,390,City of Mankato2,,,,1419,50,1,39608,1859,,21,,Includes Blue Earth and Nicollet Counties2,"Mankato-North Mankato, MN M.S.A.2",97487,2011
8321,0,47,City of North Mankato2,,,,259,8,0,13497,314,,3,,Includes Blue Earth and Nicollet Counties2,"Mankato-North Mankato, MN M.S.A.2",97487,2011
8322,72,604,Total area actually reporting,,,,2126,95,1,99.9,2825,,26,,Includes Blue Earth and Nicollet Counties2,"Mankato-North Mankato, MN M.S.A.2",97487,2011
8323,72,604,Estimated total,,,,2126,95,1,100,2825,,26,,Includes Blue Earth and Nicollet Counties2,"Mankato-North Mankato, MN M.S.A.2",97487,2011
8324,73.9,619.6,"Rate per 100,000 inhabitants",,,,2180.8,97.4,1,,2897.8,,26.7,,Includes Blue Earth and Nicollet Counties2,"Mankato-North Mankato, MN M.S.A.2",97487,2011
8325,50,913,City of Mansfield,32,,,2044,106,3,47856,3063,,86,171,Includes Richland County,"Mansfield, OH M.S.A.",124566,2011
8326,63,1481,Total area actually reporting,48,,,3769,160,3,98.5,5410,,111,225,Includes Richland County,"Mansfield, OH M.S.A.",124566,2011
8327,64,1492,Estimated total,48,,,3808,162,3,100,5462,,112,227,Includes Richland County,"Mansfield, OH M.S.A.",124566,2011
8328,51.4,1197.8,"Rate per 100,000 inhabitants",38.5,,,3057,130.1,2.4,,4384.8,,89.9,182.2,Includes Richland County,"Mansfield, OH M.S.A.",124566,2011
8329,143,511,City of McAllen,27,,,5184,180,4,132610,5875,,72,246,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8330,199,758,City of Edinburg,28,,,3666,228,1,78722,4652,,54,282,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8331,55,464,City of Mission,6,,,2094,193,2,78679,2751,,37,100,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8332,184,530,City of Pharr,17,,,1765,157,4,71881,2452,,51,256,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8333,1609,6316,Total area actually reporting,225,,,23319,1660,35,100,31295,,468,2337,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8334,203.4,798.4,"Rate per 100,000 inhabitants",28.4,,,2947.8,209.8,4.4,,3956,,59.2,295.4,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",791072,2011
8335,283,370,City of Medford,38,,,3375,150,6,75704,3895,,60,387,Includes Jackson County,"Medford, OR M.S.A.",205369,2011
8336,442,860,Total area actually reporting,71,,,5783,248,10,100,6891,,73,596,Includes Jackson County,"Medford, OR M.S.A.",205369,2011
8337,215.2,418.8,"Rate per 100,000 inhabitants",34.6,,,2815.9,120.8,4.9,,3355.4,,35.5,290.2,Includes Jackson County,"Medford, OR M.S.A.",205369,2011
8338,6738,13254,City of Memphis,398,,,25667,3434,117,652725,42355,,3083,10336,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1326648,2011
8339,8745,18414,Total area actually reporting,568,,,36585,4350,139,96.1,59349,,3458,12910,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1326648,2011
8340,8808,18756,Estimated total,578,,,37358,4418,141,100,60532,,3480,13007,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1326648,2011
8341,663.9,1413.8,"Rate per 100,000 inhabitants",43.6,,,2816,333,10.6,,4562.8,,262.3,980.4,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1326648,2011
8342,326,802,City of Merced,20,,,2044,313,8,79886,3159,,149,503,Includes Merced County,"Merced, CA M.S.A.",258800,2011
8343,1060,2604,Total area actually reporting,61,,,5496,1032,14,100,9132,,274,1409,Includes Merced County,"Merced, CA M.S.A.",258800,2011
8344,409.6,1006.2,"Rate per 100,000 inhabitants",23.6,,,2123.6,398.8,5.4,,3528.6,,105.9,544.4,Includes Merced County,"Merced, CA M.S.A.",258800,2011
8345,2683,5141,City of Miami,96,,,15080,2700,68,404901,22921,,2002,4849,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8346,691,3102,City of Fort Lauderdale,91,,,6489,601,12,167777,10192,,771,1565,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8347,528,1343,City of Pompano Beach,41,,,3852,329,5,101206,5524,,343,917,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8348,472,1354,City of West Palm Beach,48,,,3685,344,14,101281,5383,,235,769,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8349,473,1171,City of Miami Beach,40,,,7838,576,4,88975,9585,,370,887,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8350,92,495,City of Boca Raton,23,,,2067,114,0,85542,2676,,63,178,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8351,208,569,City of Deerfield Beach,23,,,1651,195,1,76040,2415,,134,366,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8352,255,776,City of Boynton Beach,7,,,2426,141,4,69147,3343,,123,389,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8353,350,699,City of Delray Beach,27,,,2385,139,4,61347,3223,,183,564,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8354,646,954,City of Homestead,18,,,2200,160,4,61337,3314,,299,967,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8355,20347,54367,Total area actually reporting,1451,,,163975,18182,344,100,236524,,11512,33654,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8356,360.7,963.9,"Rate per 100,000 inhabitants",25.7,,,2907.1,322.3,6.1,,4193.3,,204.1,596.7,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5640473,2011
8357,4743,18814,Total area actually reporting,473,,,47633,4502,59,100,70949,,3474,8749,Includes Broward County,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",1771889,2011
8358,267.7,1061.8,"Rate per 100,000 inhabitants",26.7,,,2688.3,254.1,3.3,,4004.1,,196.1,493.8,Includes Broward County,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",1771889,2011
8359,11307,24227,Total area actually reporting,638,,,84714,10848,218,100,119789,,6157,18320,Includes Miami-Dade County,"Miami-Miami Beach-Kendall, FL M.D.",2530459,2011
8360,446.8,957.4,"Rate per 100,000 inhabitants",25.2,,,3347.8,428.7,8.6,,4733.9,,243.3,724,Includes Miami-Dade County,"Miami-Miami Beach-Kendall, FL M.D.",2530459,2011
8361,4297,11326,Total area actually reporting,340,,,31628,2832,67,100,45786,,1881,6585,Includes Palm Beach County,"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",1338125,2011
8362,321.1,846.4,"Rate per 100,000 inhabitants",25.4,,,2363.6,211.6,5,,3421.7,,140.6,492.1,Includes Palm Beach County,"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",1338125,2011
8363,44,297,City of Michigan City,9,,,1421,122,2,31460,1840,,41,96,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",112036,2011
8364,26,193,City of La Porte,6,,,886,42,1,22166,1121,,10,43,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",112036,2011
8365,90,776,Total area actually reporting,25,,,2917,226,4,96.9,3919,,60,179,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",112036,2011
8366,96,796,Estimated total,26,,,3014,234,4,100,4044,,62,188,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",112036,2011
8367,85.7,710.5,"Rate per 100,000 inhabitants",23.2,,,2690.2,208.9,3.6,,3609.6,,55.3,167.8,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",112036,2011
8368,251,715,City of Midland,21,,,2435,137,4,113486,3287,,58,334,Includes Midland County,"Midland, TX M.S.A.",139752,2011
8369,309,848,Total area actually reporting,22,,,2797,171,6,100,3816,,62,399,Includes Midland County,"Midland, TX M.S.A.",139752,2011
8370,221.1,606.8,"Rate per 100,000 inhabitants",15.7,,,2001.4,122.4,4.3,,2730.6,,44.4,285.5,Includes Midland County,"Midland, TX M.S.A.",139752,2011
8371,2727,6669,City of Milwaukee,194,,,18890,4538,85,597426,30097,,2963,5969,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8372,58,178,City of Waukesha,17,,,918,34,0,71026,1130,,17,92,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8373,73,571,City of West Allis,10,,,2376,227,2,60674,3174,,114,199,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8374,3272,9268,Total area actually reporting,288,,,35745,5236,92,97.3,50249,,3297,6949,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8375,3305,9400,Estimated total,295,,,36584,5265,92,100,51249,,3311,7003,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8376,211.5,601.5,"Rate per 100,000 inhabitants",18.9,,,2341.1,336.9,5.9,,3279.5,,211.9,448.1,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1562687,2011
8377,1715,5104,"City of Minneapolis, MN",386,,,12311,1775,32,385531,19190,,1589,3722,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8378,1104,3197,"City of St. Paul, MN",169,,,6890,1845,8,287665,11932,,604,1885,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8379,70,251,"City of Bloomington, MN2",,,,2813,87,0,83533,3151,,41,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8380,31,276,"City of Plymouth, MN2",,,,908,28,0,71121,1212,,12,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8381,23,185,"City of Eagan, MN2",,,,1278,49,0,64702,1512,,11,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8382,14,127,"City of Eden Prairie, MN2",,,,811,22,0,61266,960,,12,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8383,13,154,"City of Minnetonka, MN2",,,,725,31,0,50118,910,,11,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8384,4634,17189,Total area actually reporting,,,,70600,6151,59,99.9,93940,,2997,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8385,4636,17198,Estimated total,,,,70653,6154,59,100,94005,,2998,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
8386,140.3,520.4,"Rate per 100,000 inhabitants",,,,2137.9,186.2,1.8,,2844.6,,90.7,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",3304725,2011
